Regularizer	FC1	FC2	genre	variant	epoch	train_loss	train_accuracy	train_fscore	test_loss	test_accuracy	test_fscore
L1=1e-5	256	64	Animation	base	3	1.53470726308	0.909167054272	0.253256728177	NaN	0.918941388201	NaN
L1=1e-5	256	64	Animation	base	4	1.48090956806	0.922708235829	0.277908675628	NaN	0.883746708925	NaN
L1=1e-5	256	64	Animation	base	5	1.43499569302	0.927408097311	0.304448069953	NaN	0.922543992983	NaN
L1=1e-5	256	64	Animation	base	6	1.37867754756	0.933038622238	0.329984634247	NaN	0.9423583202	NaN
L1=1e-5	256	64	Animation	base	7	1.34633006812	0.938110749469	0.346159763597	NaN	0.923744861595	NaN
L1=1e-5	256	64	Animation	base	8	1.31204546104	0.941321544505	0.363943182945	NaN	0.919726571334	NaN
L1=1e-5	256	64	Animation	base	9	1.27992988397	0.944485807191	0.376893633829	NaN	0.925453789589	NaN
L1=1e-5	256	64	Animation	base	10	1.23128522657	0.948720334856	0.402665179344	NaN	0.913722230091	NaN
L1=1e-5	256	64	Animation	LR decay	1	1.83047500573	0.126617031133	0.0871037149653	NaN	0.0498822225226	NaN
L1=1e-5	256	64	Animation	LR decay	2	1.81130540145	0.0484411353785	0.092008067594	NaN	0.0498822225226	NaN
L1=1e-5	256	64	Animation	LR decay	3	1.80928401291	0.0484411353917	0.091989317786	NaN	0.0498822225226	NaN
L1=1e-5	256	64	Animation	LR decay	4	1.81007321281	0.0484411353983	0.0920693526064	NaN	0.0498822225732	NaN
L1=1e-5	256	64	Animation	LR decay	5	1.81051153724	0.0484411354049	0.0921116237088	NaN	0.0498822225226	NaN
L1=1e-5	256	64	Animation	LR decay	6	1.81103627529	0.0484411353674	0.0921507722579	NaN	0.0498822225732	NaN
L1=1e-5	256	64	Animation	LR decay	7	1.80833507637	0.0484411354028	0.0920081585999	NaN	0.0498822225226	NaN
L1=1e-5	256	64	Animation	LR decay	8	1.81002491407	0.0484411353851	0.0920999194368	NaN	0.0498822225226	NaN
